Colony,SC_I,SC_F,TC_I,TC_F,Length_15,Length_16,L_C,Width_15,Width_16,W_C,Height_15,Height_16,H_C,Volume_15,Volume_16,EV_C,BD_15,BD_16,BD_C,Tip_2015,Tip_2016,T_C
70,B,1,1,1,6.1,1.4,-4.7,2.8,1.2,-1.6,0,0,0,17.08,1.68,-15.4,0,0,0,0,0,0
196,B,3,2,2,7,14,7,2.4,11,8.6,3.6,6.5,2.9,62.46,797.67,735.21,0.6,0.5,-0.1,2,5,3
198,B,3,2,2,3.7,6.7,3,2.3,6.7,4.4,1.5,4.5,3,10.6,158.65,148.05,0.5,0.66,0.16,1,6,5
295,B,3,1,2,6.4,9.3,2.9,2.4,6.1,3.7,0,5.1,5.1,15.36,237.49,222.13,0,0.56,0.56,0,6,6
141,A,2,1,1,1.9,5.3,3.4,2.2,3,0.8,0,0,0,4.18,15.9,11.72,0,0,0,0,0,0
199,D,4,3,3,35,27,-8,20,18,-2,12.5,17,4.5,7424.47,6759.33,-665.14,0.87,0.8,-0.07,37,19,-18
218,A,1,1,1,1.2,4.1,2.9,1,2.4,1.4,0,0,0,1.2,9.84,8.64,0,0,0,0,0,0
257,B,1,2,2,3.2,1.1,-2.1,2.5,1.7,-0.8,3.5,0.7,-2.8,22.33,1.08,-21.25,0.55,0.6,0.05,2,1,-1
200,C,3,2,2,5.4,11.5,6.1,5,6.4,1.4,6.4,9.1,2.7,135.92,572.5,436.58,0.67,0.6,-0.07,5,8,3
288,A,1,2,1,2.8,2.2,-0.6,1.9,2.1,0.2,2.2,0,-2.2,9.54,4.62,-4.92,0.6,0,-0.6,1,0,-1
276,A,2,1,2,0.7,5.3,4.6,0.8,3.7,2.9,0,1.2,1.2,0.56,19.09,18.53,0,0.4,0.4,0,2,2
294,A,2,2,2,0.9,4.8,3.9,0.6,2.8,2.2,0,3.4,3.4,0.54,38.54,38,0.77,0.6,-0.17,6,4,-2
260,C,3,2,2,9.1,9.5,0.4,2.8,2.6,-0.2,9.2,5.9,-3.3,255.81,169.61,-86.2,0.77,0.6,-0.17,6,5,-1
289,A,1,1,1,1.4,3.5,2.1,1.5,2.6,1.1,0,0,0,2.1,9.1,7,0,0,0,0,0,0
71,C,4,2,3,8.2,18,9.8,7.1,15,7.9,2.3,13,10.7,105.72,2779.72,2674,0.63,0.76,0.13,6,40,34
261,D,4,3,3,25,22.3,-2.7,11.5,11,-0.5,9,10.6,1.6,2354.28,2307.94,-46.34,0.7,0.53,-0.17,23,24,1
75,C,4,3,4,11.5,22,10.5,10.8,19.5,8.7,6.1,12,5.9,595.62,4057.96,3462.34,0.73,0.63,-0.1,27,56,29
291,A,1,1,2,1.3,0,-1.3,0.8,0,-0.8,0,1.2,1.2,1.04,1.2,0.16,0,0.2,0.2,0,1,1
74,D,4,3,3,12,18,6,12,16,4,10,15,5,1130.97,3404.7,2273.73,0.93,0.7,-0.23,17,35,18
254,C,3,2,2,9.5,9.3,-0.2,6.9,8.2,1.3,4.9,8.3,3.4,258.77,499.1,240.33,0.57,0.63,0.06,7,9,2
68,B,2,2,2,4.2,2,-2.2,6.3,4.6,-1.7,3.8,4.6,0.8,82.26,39.34,-42.92,0.65,0.6,-0.05,2,3,1
67,B,3,1,2,3.5,4.5,1,3.1,2.3,-0.8,0,1.4,1.4,10.85,12.71,1.86,0,0.4,0.4,0,2,2
62,C,4,2,3,9.6,14.6,5,10.2,12.6,2.4,6.7,13.3,6.6,515.75,1932.05,1416.3,0.87,0.63,-0.24,10,32,22
65,C,3,2,2,11.7,14.2,2.5,2.8,4.7,1.9,4.4,4,-0.4,181.64,280.55,98.91,0.67,0.46,-0.21,3,7,4
63,B,3,2,2,6.3,10.4,4.1,3.3,13.4,10.1,4,6.3,2.3,75.43,700.69,625.26,0.93,0.73,-0.2,4,8,4
56,B,3,2,3,9.7,15.1,5.4,4.4,11.8,7.4,4.1,12.8,8.7,160.05,1818.63,1658.58,0.83,0.86,0.03,4,14,10
219,B,3,2,2,4.2,9.3,5.1,2.6,8.5,5.9,1.3,4.3,3,11.8,267.51,255.71,0.5,0.6,0.1,1,9,8
281,B,3,2,2,6,7.2,1.2,2.6,6.2,3.6,1,4,3,14.52,141.03,126.51,0.6,0.7,0.1,3,6,3
207,B,3,2,2,2.4,5.1,2.7,4.6,6,1.4,3.1,6.4,3.3,29.83,154.83,125,0.7,0.53,-0.17,4,6,2
58,C,4,2,3,10.7,15.3,4.6,2.7,10.5,7.8,6.2,11.9,5.7,218.59,1555.31,1336.72,0.83,0.8,-0.03,4,13,9
61,B,3,2,2,7.5,9.4,1.9,2.9,8.5,5.6,1.6,7.8,6.2,33.98,490.72,456.74,0.63,0.5,-0.13,5,25,20
60,B,3,2,2,9.4,13.5,4.1,3,4.2,1.2,2.7,4,1.3,81.51,246.06,164.55,0.6,0.56,-0.04,2,6,4
