"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",363471
1,.,"A",363472
1,.,"A",363481
1,.,"A",363482
1,.,"A",363491
1,.,"A",363492
1,.,"A",363501
1,.,"A",363502
1,.,"A",363511
1,.,"A",363512
1,.,"A",363521
1,.,"A",363522
1,.,"A",363531
1,.,"A",363532
1,.,"A",363541
1,.,"A",363542
2,4,"D",363551
2,34,"D",363552
1,.,"A",363561
1,.,"A",363562
1,.,"A",363571
1,.,"A",363572
1,.,"A",363581
1,.,"A",363582
1,.,"A",363591
1,.,"A",363592
1,.,"A",363601
1,.,"A",363602
1,.,"A",363611
1,.,"A",363612
1,.,"A",363621
1,.,"A",363622
1,.,"A",363631
1,.,"A",363632
1,.,"A",363641
1,.,"A",363642
1,.,"A",363651
1,.,"A",363652
1,.,"A",363661
1,.,"A",363662
3,7,"D",363671
3,37,"D",363672
1,.,"A",363681
1,.,"A",363682
1,.,"A",363691
1,.,"A",363692
1,.,"A",363701
1,.,"A",363702
1,.,"A",363711
1,.,"A",363712
1,.,"A",363721
1,.,"A",363731
1,.,"A",363732
1,.,"A",363741
1,.,"A",363742
1,.,"A",363751
1,.,"A",363752
1,.,"A",363761
1,.,"A",363762
1,.,"A",363771
1,.,"A",363772
4,3,"D",363781
4,33,"D",363782
1,.,"A",363791
1,.,"A",363792
1,.,"A",363801
1,.,"A",363802
1,.,"A",363811
1,.,"A",363812
1,.,"A",363821
1,.,"A",363822
1,.,"A",363831
1,.,"A",363832
1,.,"A",363841
1,.,"A",363842
1,.,"A",363851
1,.,"A",363852
1,.,"A",363862
1,.,"A",363871
1,.,"A",363872
1,.,"A",363881
1,.,"A",363882
1,.,"A",363891
1,.,"A",363892
1,.,"A",363901
1,.,"A",363902
1,.,"A",363911
1,.,"A",363912
1,.,"A",363921
1,.,"A",363922
1,.,"A",363931
1,.,"A",363932
1,.,"A",363941
1,.,"A",363942
1,.,"A",363951
1,.,"A",363952
1,.,"A",363961
1,.,"A",363962
1,.,"A",363971
1,.,"A",363972
1,.,"A",363981
1,.,"A",363982
1,.,"A",363991
1,.,"A",363992
1,.,"A",364001
1,.,"A",364002
1,.,"A",364011
1,.,"A",364012
3,8,"D",364021
1,.,"A",364031
1,.,"A",364032
1,.,"A",364041
1,.,"A",364042
1,.,"A",364051
1,.,"A",364052
1,.,"A",364061
1,.,"A",364062
1,.,"A",364071
1,.,"A",364072
1,.,"A",364081
1,.,"A",364082
1,.,"A",364091
1,.,"A",364092
1,.,"A",364101
1,.,"A",364102
1,.,"A",364111
1,.,"A",364112
1,.,"A",364121
1,.,"A",364122
1,.,"A",364131
1,.,"A",364132
1,.,"A",364141
1,.,"A",364142
1,.,"A",364151
1,.,"A",364152
1,.,"A",364161
1,.,"A",364162
1,.,"A",364171
1,.,"A",364172
1,.,"A",364181
1,.,"A",364182
1,.,"A",364191
1,.,"A",364192
1,.,"A",364201
1,.,"A",364202
1,.,"A",364211
1,.,"A",364212
1,.,"A",364221
1,.,"A",364222
1,.,"A",364231
1,.,"A",364232
1,.,"A",364241
1,.,"A",364242
1,.,"A",364251
1,.,"A",364252
1,.,"A",364261
1,.,"A",364262
1,.,"A",364271
1,.,"A",364272
1,.,"A",364281
1,.,"A",364282
1,.,"A",364291
1,.,"A",364292
1,.,"A",364301
1,.,"A",364302
1,.,"A",364311
1,.,"A",364312
1,.,"A",364321
1,.,"A",364322
1,.,"A",364331
1,.,"A",364332
1,.,"A",364341
1,.,"A",364342
1,.,"A",364351
1,.,"A",364352
1,.,"A",364361
1,.,"A",364371
1,.,"A",364372
1,.,"A",364381
1,.,"A",364382
1,.,"A",364391
1,.,"A",364392
1,.,"A",364401
1,.,"A",364402
1,.,"A",364411
1,.,"A",364412
1,.,"A",364421
1,.,"A",364422
1,.,"A",364431
1,.,"A",364432
1,.,"A",364441
1,.,"A",364442
1,.,"A",364451
1,.,"A",364452
1,.,"A",364461
1,.,"A",364462
1,.,"A",364471
1,.,"A",364472
2,22,"D",364481
2,52,"D",364482
1,.,"A",364491
1,.,"A",364492
1,.,"A",364501
1,.,"A",364502
1,.,"A",364511
1,.,"A",364512
1,.,"A",364521
1,.,"A",364522
1,.,"A",364531
