"BSNSX","FARMX","IRAX","JSSDEDX","WAGEX","ANFEDTXX","ANGVX","ANPVTX","ANRRX","ANSTATXX","BSNSX_","FARMX_","IRAX_","JSSDEDX_","WAGEX_","ANFE_TXX","ANGVX_","ANPVTX_","ANRRX_","ANST_TXX","FEDTXX","GVX","PVTX","RRX","STATXX","FEDTXX_","GVX_","PVTX_","RRX_","STATXX_","HRSPERWK","WKS_WRKD","HRSP_RWK","WKS__RKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE","SEX","RACE_","SEX_","AGE","MEMBNO","CU_CODE1","EDUCA","IN_COLL","ARM_FORC","SCHLNCHX","SCHLNCHQ","ANYSSINC","ANYRAIL","SS_RRX","MEDICARE","SS_RRQ","US_SUPP","STA_SUPP","SUPPX","GROSPAYX","PAYPERD","SLFEMPSS","SOCRRX","AGE_","CU_C_DE1","EDUCA_","IN_COLL_","ARM__ORC","ANYS_INC","ANYRAIL_","MEDI_ARE","US_SUPP_","STA__UPP","PAYPERD_","SCHL_CHX","SCHL_CHQ","SS_RRX_","SS_RRQ_","SUPPX_","GROS_AYX","SLFE_PSS","SOCRRX_","NEWID"
.,.,.,0,.,.,.,.,.,.,"B","A","A","D","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",50,52,"D","D","5","1","4",,"13","D","D","D","A","D","4","1","D","D",38,1,"1","38",,"2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","A","D","D","D","A","D","D","A","A","A","A","A","A","A","D","D",330631
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","4","2",,"A","D","D","D","A","4","2","D","D",38,2,"2","43","3","2",.,.,"2","2",.,,.,"2","2",.,.,,.,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","A","D",330631
.,.,.,0,.,.,.,.,.,.,"B","A","A","D","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",50,52,"D","D","5","1","4",,"13","D","D","D","A","D","4","1","D","D",38,1,"1","38",,"2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","A","D","D","D","A","D","D","A","A","A","A","A","A","A","D","D",330632
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","4","2",,"A","D","D","D","A","4","2","D","D",38,2,"2","43","3","2",.,.,"2","2",.,,.,"2","2",.,.,,.,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","A","D",330632
.,.,.,4406,57600,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",60,52,"D","D","2","1","4",,"18","D","D","D","A","D","1","1","D","D",35,1,"1","41","3","1",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","C","A","A","A","A","A","C","D","D",330641
.,.,.,635,8300,986,.,.,.,517,"A","A","A","D","D","D","A","A","A","D",124,.,.,.,65,"D","A","A","A","D",24,38,"D","D","1","1","4",,"03","D","D","D","A","D","1","2","D","D",31,2,"2","42","3","2",.,.,"2","2",.,,.,"2","2",.,1044,"3",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",330641
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",2,3,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",330641
.,.,.,4406,57600,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",60,52,"D","D","2","1","4",,"18","D","D","D","A","D","1","1","D","D",35,1,"1","41","3","1",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","C","A","A","A","A","A","C","D","D",330642
.,.,.,635,8300,986,.,.,.,517,"A","A","A","D","D","D","A","A","A","D",124,.,.,.,65,"D","A","A","A","D",24,38,"D","D","1","1","4",,"03","D","D","D","A","D","1","2","D","D",31,2,"2","42","3","2",.,.,"2","2",.,,.,"2","2",.,1044,"3",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",330642
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",2,3,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",330642
