"HRSPERWK","WKS_WRKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","RACE","SEX","HRSP_RWK","WKS__RKD","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE_","SEX_","NEWID","AGE","AGE_","ANFEDTXX","ANFE_TXX","ANGVX","ANGVX_","ANPVTX","ANPVTX_","ANRRX","ANRRX_","ANSTATXX","ANST_TXX","ANYRAIL","ANYRAIL_","ANYSSINC","ANYS_INC","BSNSX","BSNSX_","CU_CODE1","CU_C_DE1","EDUCA","EDUCA_","FARMX","FARMX_","FEDTXX","FEDTXX_","GROSPAYX","GROS_AYX","GVX","GVX_","IRAX","IRAX_","JSSDEDX","JSSDEDX_","MEMBNO","PVTX","PVTX_","RRX","RRX_","SCHLNCHQ","SCHL_CHQ","SCHLNCHX","SCHL_CHX","SLFEMPSS","SLFE_PSS","SS_RRX","SS_RRX_","STA_SUPP","STA__UPP","STATXX","STATXX_","SUPPX","SUPPX_","US_SUPP","US_SUPP_","WAGEX","WAGEX_","SS_RRQ","SS_RRQ_","SOCRRX","SOCRRX_","ARM_FORC","ARM__ORC","IN_COLL","IN_COLL_","MEDICARE","MEDI_ARE","PAYPERD","PAYPERD_"
37,52,"1","3","1",,"03","1","2","D","D","D","D","D","A","D","D","D",440131,37,"D",.,"B",.,"A",.,"B",.,"A",.,"B","2","D","2","D",.,"A","1","D","40","D",.,"A",.,"C",2500,"D",.,"A",.,"A",4973,"D",1,.,"C",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",65000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
40,52,"1","1","4",,"10","4","1","D","D","D","D","D","A","D","D","D",440141,51,"D",1683,"D",.,"A",.,"A",.,"A",1995,"D","2","D","2","D",.,"A","1","D","41","D",.,"A",70,"D",1664,"D",.,"A",.,"A",3060,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",83,"D",.,"A","2","D",40000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
40,52,"1","1","4",,"04","4","2","D","D","D","D","D","A","D","D","D",440141,35,"D",732,"D",.,"A",.,"A",.,"A",516,"D","2","D","2","D",.,"C","2","D","40","D",.,"A",61,"D",2000,"D",.,"A",.,"A",1836,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",43,"D",.,"A","2","D",24000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
.,.,,"5","4",,,"4","1","A","A","A","D","D","A","A","D","D",440141,12,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",4,.,"A",.,"A",12,"D",1,"D",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
.,0,,"5","4","3",,"4","2","A","D","A","D","D","D","A","D","D",440141,17,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","8","D","11","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",5,"D",1,"D",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A"
40,52,"1","1","4",,"10","4","1","D","D","D","D","D","A","D","D","D",440142,51,"D",1683,"D",.,"A",.,"A",.,"A",1995,"D","2","D","2","D",.,"A","1","D","41","D",.,"A",70,"D",1664,"D",.,"A",.,"A",3060,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",83,"D",.,"A","2","D",40000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
40,52,"1","1","4",,"04","4","2","D","D","D","D","D","A","D","D","D",440142,35,"D",732,"D",.,"A",.,"A",.,"A",516,"D","2","D","2","D",.,"C","2","D","40","D",.,"A",61,"D",2000,"D",.,"A",.,"A",1836,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",43,"D",.,"A","2","D",24000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
.,.,,"5","4",,,"4","1","A","A","A","D","D","A","A","D","D",440142,12,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",4,.,"A",.,"A",12,"D",1,"D",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
.,0,,"5","4","3",,"4","2","A","D","A","D","D","D","A","D","D",440142,17,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","8","D","11","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",5,"D",1,"D",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A"
.,0,,"1","4","1",,"1","2","A","D","A","D","D","D","A","D","D",440151,57,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","44","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
40,52,"2","1","4",,"01","1","1","D","D","D","D","D","A","D","D","D",440151,59,"D",15627,"D",5140,"D",.,"A",.,"A",5531,"D","2","D","2","D",.,"A","2","D","44","D",.,"C",599,"D",3948,"D",197,"D",.,"A",6757,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",212,"D",.,"A","2","D",103000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
.,0,,"1","4","1",,"1","2","A","D","A","D","D","D","A","D","D",440152,57,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","44","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
40,52,"2","1","4",,"01","1","1","D","D","D","D","D","A","D","D","D",440152,59,"D",15627,"D",5140,"D",.,"A",.,"A",5531,"D","2","D","2","D",.,"A","2","D","44","D",.,"C",599,"D",3948,"D",197,"D",.,"A",6757,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",212,"D",.,"A","2","D",103000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
20,4,"3","5","4",,"07","1","1","D","D","D","D","D","A","D","D","D",440162,27,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","40","D",.,"A",.,"C",160,"D",.,"A",.,"A",230,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",3000,"D",.,"A",0,"D","2","D","1","D",,"A","2","D"
38,52,"3","1","4",,"12","1","2","D","D","D","D","D","A","D","D","D",440171,45,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","1","D","39","D",.,"A",.,"B",.,"B",.,"B",.,"A",0,"D",1,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"B",.,"A",0,"D","2","D","3","D",,"A",,"B"
.,0,,"1","4","1",,"1","1","A","D","A","D","D","D","A","D","D",440171,56,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","2","D","39","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,.,,"5","4",,,"1","1","A","A","A","D","D","A","A","D","D",440171,13,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",2,"D",15,"D",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
38,52,"3","1","4",,"12","1","2","D","D","D","D","D","A","D","D","D",440172,45,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","1","D","39","D",.,"A",.,"B",.,"B",.,"B",.,"A",0,"D",1,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"B",.,"A",0,"D","2","D","3","D",,"A",,"B"
