"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
605892,"980000","1",65996,,"2"
605892,"980000","1",79353,,"3"
605892,"980000","1",75687,,"4"
605892,"980000","1",61232,,"5"
605892,"980070","1",97083,,"1"
605892,"980070","1",65996,,"2"
605892,"980070","1",79353,,"3"
605892,"980070","1",75687,,"4"
605892,"980070","1",61232,,"5"
613131,"800940","1",1867,,"1"
613131,"800940","1",2383,,"2"
613131,"800940","1",2968,,"3"
613131,"800940","1",2837,,"4"
613131,"800940","1",5598,,"5"
613131,"900000","1",24407,,"1"
613131,"900000","1",31151,,"2"
613131,"900000","1",38798,,"3"
613131,"900000","1",37081,,"4"
613131,"900000","1",73177,,"5"
613131,"980000","1",24407,,"1"
613131,"980000","1",31151,,"2"
613131,"980000","1",38798,,"3"
613131,"980000","1",37081,,"4"
613131,"980000","1",73177,,"5"
613131,"980070","1",24407,,"1"
613131,"980070","1",31151,,"2"
613131,"980070","1",38798,,"3"
613131,"980070","1",37081,,"4"
613131,"980070","1",73177,,"5"
619801,"800940","1",6503,,"1"
619801,"800940","1",6503,,"2"
619801,"800940","1",6503,,"3"
619801,"800940","1",6503,,"4"
619801,"800940","1",6503,,"5"
619801,"900000","1",85000,,"1"
619801,"900000","1",85000,,"2"
619801,"900000","1",85000,,"3"
619801,"900000","1",85000,,"4"
619801,"900000","1",85000,,"5"
619801,"980000","1",85000,,"1"
619801,"980000","1",85000,,"2"
619801,"980000","1",85000,,"3"
619801,"980000","1",85000,,"4"
619801,"980000","1",85000,,"5"
619801,"980070","1",85000,,"1"
619801,"980070","1",85000,,"2"
619801,"980070","1",85000,,"3"
619801,"980070","1",85000,,"4"
619801,"980070","1",85000,,"5"
619802,"800940","1",6503,,"1"
619802,"800940","1",6503,,"2"
619802,"800940","1",6503,,"3"
619802,"800940","1",6503,,"4"
619802,"800940","1",6503,,"5"
619802,"900000","1",85000,,"1"
619802,"900000","1",85000,,"2"
619802,"900000","1",85000,,"3"
619802,"900000","1",85000,,"4"
619802,"900000","1",85000,,"5"
619802,"980000","1",85000,,"1"
619802,"980000","1",85000,,"2"
619802,"980000","1",85000,,"3"
619802,"980000","1",85000,,"4"
619802,"980000","1",85000,,"5"
619802,"980070","1",85000,,"1"
619802,"980070","1",85000,,"2"
619802,"980070","1",85000,,"3"
619802,"980070","1",85000,,"4"
619802,"980070","1",85000,,"5"
620711,"800940","1",2831,,"1"
620711,"800940","1",2831,,"2"
620711,"800940","1",2831,,"3"
620711,"800940","1",2831,,"4"
620711,"800940","1",2831,,"5"
620711,"900000","1",37000,,"1"
620711,"900000","1",37000,,"2"
620711,"900000","1",37000,,"3"
620711,"900000","1",37000,,"4"
620711,"900000","1",37000,,"5"
620711,"980000","1",37000,,"1"
620711,"980000","1",37000,,"2"
620711,"980000","1",37000,,"3"
620711,"980000","1",37000,,"4"
620711,"980000","1",37000,,"5"
620711,"980070","1",41500,,"1"
620711,"980070","1",41500,,"2"
620711,"980070","1",41500,,"3"
620711,"980070","1",41500,,"4"
620711,"980070","1",41500,,"5"
620712,"800940","1",2831,,"1"
620712,"800940","1",2831,,"2"
620712,"800940","1",2831,,"3"
620712,"800940","1",2831,,"4"
620712,"800940","1",2831,,"5"
620712,"900000","1",37000,,"1"
620712,"900000","1",37000,,"2"
620712,"900000","1",37000,,"3"
620712,"900000","1",37000,,"4"
620712,"900000","1",37000,,"5"
620712,"980000","1",37000,,"1"
620712,"980000","1",37000,,"2"
620712,"980000","1",37000,,"3"
620712,"980000","1",37000,,"4"
620712,"980000","1",37000,,"5"
620712,"980070","1",41500,,"1"
620712,"980070","1",41500,,"2"
620712,"980070","1",41500,,"3"
620712,"980070","1",41500,,"4"
620712,"980070","1",41500,,"5"
616901,"800940","1",6046,,"1"
616901,"800940","1",5921,,"2"
616901,"800940","1",6314,,"3"
616901,"800940","1",5615,,"4"
616901,"800940","1",6734,,"5"
616901,"900000","1",79038,,"1"
616901,"900000","1",77398,,"2"
616901,"900000","1",82540,,"3"
616901,"900000","1",73402,,"4"
616901,"900000","1",88589,,"5"
616901,"900080","1",5550,,"1"
616901,"900080","1",6136,,"2"
616901,"900080","1",8399,,"3"
616901,"900080","1",5405,,"4"
616901,"900080","1",5778,,"5"
616901,"980000","1",84588,,"1"
616901,"980000","1",83534,,"2"
616901,"980000","1",90939,,"3"
616901,"980000","1",78807,,"4"
616901,"980000","1",94367,,"5"
616901,"980070","1",84588,,"1"
616901,"980070","1",83534,,"2"
616901,"980070","1",90939,,"3"
616901,"980070","1",78807,,"4"
616901,"980070","1",94367,,"5"
616902,"800940","1",5525,,"1"
616902,"800940","1",6119,,"2"
616902,"800940","1",5389,,"3"
616902,"800940","1",5559,,"4"
616902,"800940","1",6441,,"5"
616902,"900000","1",72228,,"1"
616902,"900000","1",79988,,"2"
616902,"900000","1",70446,,"3"
616902,"900000","1",72673,,"4"
616902,"900000","1",84199,,"5"
616902,"900080","1",5671,,"1"
616902,"900080","1",8463,,"2"
616902,"900080","1",5574,,"3"
616902,"900080","1",9647,,"4"
616902,"900080","1",8079,,"5"
616902,"980000","1",77899,,"1"
616902,"980000","1",88451,,"2"
616902,"980000","1",76020,,"3"
616902,"980000","1",82320,,"4"
616902,"980000","1",92278,,"5"
616902,"980070","1",77899,,"1"
616902,"980070","1",88451,,"2"
